date,timestamp,open,high,low,close,volume,source_symbol,source
2024-12-31,1735603200,2.094,2.094,2.087,2.071,,,
2025-01-02,1735776000,2.086,2.101,2.033,2.085,,,
2025-01-03,1735862400,2.102,2.175,2.088,2.161,,,
2025-01-06,1736121600,2.197,2.214,2.167,2.193,,,
2025-01-07,1736208000,2.193,2.208,2.174,2.198,,,
2025-01-08,1736294400,2.191,2.221,2.177,2.199,,,
2025-01-09,1736380800,2.195,2.231,2.19,2.221,,,
2025-01-10,1736467200,2.242,2.297,2.233,2.273,,,
2025-01-13,1736726400,2.307,2.322,2.273,2.289,,,
2025-01-14,1736812800,2.29,2.32,2.261,2.307,,,
2025-01-15,1736899200,2.323,2.323,2.238,2.249,,,
2025-01-16,1736985600,2.247,2.275,2.226,2.224,,,
2025-01-17,1737072000,2.229,2.233,2.206,2.224,,,
2025-01-20,1737331200,2.23,2.247,2.21,2.214,,,
2025-01-21,1737417600,2.21,2.246,2.204,2.209,,,
2025-01-22,1737504000,2.213,2.237,2.195,2.226,,,
2025-01-23,1737590400,2.228,2.26,2.217,2.24,,,
2025-01-24,1737676800,2.236,2.308,2.231,2.286,,,
2025-01-27,1737936000,2.257,2.265,2.217,2.244,,,
2025-01-28,1738022400,2.262,2.28,2.247,2.262,,,
2025-01-29,1738108800,2.257,2.275,2.234,2.267,,,
2025-01-30,1738195200,2.256,2.265,2.177,2.194,,,
2025-01-31,1738281600,2.217,2.229,2.112,2.111,,,
2025-02-03,1738540800,2.053,2.074,2.01,2.033,,,
2025-02-04,1738627200,2.065,2.083,2.05,2.051,,,
2025-02-05,1738713600,2.046,2.06,2.016,2.051,,,
2025-02-06,1738800000,2.066,2.086,2.044,2.051,,,
2025-02-07,1738886400,2.064,2.096,2.047,2.05,,,
2025-02-10,1739145600,2.051,2.06,2.017,2.022,,,
2025-02-11,1739232000,2.036,2.09,2.032,2.075,,,
2025-02-12,1739318400,2.088,2.143,2.083,2.128,,,
2025-02-13,1739404800,2.123,2.139,2.084,2.082,,,
2025-02-14,1739491200,2.086,2.116,2.084,2.102,,,
2025-02-17,1739750400,2.128,2.149,2.125,2.128,,,
