date,timestamp,open,high,low,close,volume,source_symbol,source
2025-01-02,,2.86,2.86,2.728,2.767,,,
2025-01-03,,2.748,2.752,2.706,2.733,,,
2025-01-06,,2.824,2.834,2.734,2.828,,,
2025-01-07,,2.807,2.815,2.79,2.809,,,
2025-01-08,,2.839,2.839,2.796,2.8,,,
2025-01-09,,2.79,2.79,2.762,2.783,,,
2025-01-10,,2.804,2.837,2.682,2.682,,,
2025-01-13,,2.876,2.888,2.806,2.855,,,
2025-01-14,,2.854,2.873,2.834,2.834,,,
2025-01-15,,2.845,2.861,2.845,2.847,,,
2025-01-16,,2.8,2.836,2.796,2.803,,,
2025-01-17,,2.786,2.819,2.786,2.794,,,
2025-01-20,,2.86,2.876,2.839,2.864,,,
2025-01-21,,2.82,2.84,2.784,2.819,,,
2025-01-22,,2.823,2.839,2.817,2.83,,,
2025-01-23,,2.836,2.848,2.826,2.836,,,
2025-01-24,,2.854,2.868,2.818,2.861,,,
2025-01-31,,2.8,2.859,2.798,2.855,,,
2025-02-03,,2.865,2.867,2.814,2.832,,,
2025-02-04,,2.852,2.865,2.818,2.832,,,
2025-02-05,,2.845,2.851,2.81,2.81,,,
2025-02-06,,2.777,2.794,2.761,2.766,,,
2025-02-07,,2.805,2.847,2.798,2.816,,,
2025-02-10,,2.839,2.86,2.828,2.854,,,
2025-02-11,,2.82,2.85,2.81,2.838,,,
2025-02-12,,2.871,2.891,2.859,2.882,,,
2025-02-13,,2.91,2.913,2.872,2.904,,,
2025-02-14,,2.841,2.862,2.837,2.846,,,
2025-02-17,,2.845,2.871,2.825,2.838,,,
2025-02-18,,2.85,2.888,2.85,2.857,,,
2025-02-19,,2.892,2.897,2.867,2.869,,,
2025-02-20,,2.879,2.893,2.861,2.871,,,
2025-02-21,,2.878,2.889,2.855,2.878,,,
2025-02-24,,2.823,2.83,2.812,2.815,,,
2025-02-25,,2.792,2.803,2.779,2.798,,,
2025-02-26,,2.75,2.795,2.742,2.746,,,
2025-02-27,,2.739,2.759,2.728,2.73,,,
2025-02-28,,2.757,2.761,2.703,2.724,,,
2025-03-04,,2.649,2.707,2.649,2.701,,,
2025-03-05,,2.75,2.786,2.662,2.757,,,
2025-03-06,,2.824,2.842,2.775,2.806,,,
2025-03-07,,2.8,2.801,2.765,2.792,,,
2025-03-10,,2.768,2.798,2.762,2.797,,,
2025-03-11,,2.749,2.766,2.74,2.743,,,
2025-03-12,,2.786,2.787,2.748,2.761,,,
2025-03-13,,2.783,2.785,2.763,2.783,,,
2025-03-14,,2.757,2.999,2.757,2.813,,,
2025-03-17,,2.817,2.839,2.803,2.806,,,
2025-03-18,,2.791,2.805,2.777,2.788,,,
2025-03-19,,2.783,2.829,2.783,2.8,,,
2025-03-20,,2.78,2.83,2.768,2.83,,,
2025-03-21,,2.801,2.812,2.793,2.803,,,
2025-03-24,,2.814,2.818,2.79,2.818,,,
2025-03-25,,2.832,2.845,2.816,2.839,,,
2025-03-26,,2.827,2.851,2.821,2.85,,,
2025-03-27,,2.851,2.855,2.833,2.851,,,
2025-03-28,,2.84,2.847,2.835,2.843,,,
2025-03-31,,2.795,2.8,2.771,2.772,,,
2025-04-01,,2.772,2.819,2.772,2.803,,,
2025-04-02,,2.79,2.79,2.764,2.774,,,
2025-04-03,,2.686,2.951,2.685,2.749,,,
2025-04-04,,2.725,2.74,2.67,2.74,,,
2025-04-07,,2.64,2.672,2.633,2.651,,,
2025-04-08,,2.721,2.74,2.647,2.703,,,
2025-04-09,,2.675,2.78,2.675,2.728,,,
2025-04-10,,2.718,2.718,2.681,2.711,,,
2025-04-11,,2.745,2.748,2.693,2.693,,,
2025-04-14,,2.696,2.712,2.688,2.708,,,
2025-04-15,,2.665,2.699,2.653,2.662,,,
2025-04-16,,2.65,2.65,2.629,2.634,,,
2025-04-17,,2.635,2.7,2.618,2.629,,,
2025-04-18,,2.633,2.651,2.612,2.623,,,
2025-04-21,,2.61,2.624,2.601,2.601,,,
2025-04-22,,2.619,2.631,2.602,2.619,,,
2025-04-23,,2.605,2.614,2.592,2.611,,,
2025-04-24,,2.56,2.624,2.56,2.624,,,
2025-04-25,,2.599,2.62,2.571,2.582,,,
2025-04-28,,2.564,2.59,2.555,2.588,,,
2025-04-29,,2.58,2.611,2.58,2.611,,,
2025-04-30,,2.589,2.597,2.553,2.592,,,
2025-05-02,,2.578,2.603,2.569,2.593,,,
2025-05-07,,2.611,2.616,2.595,2.603,,,
2025-05-08,,2.596,2.628,2.568,2.626,,,
2025-05-09,,2.656,2.672,2.652,2.67,,,
2025-05-12,,2.698,2.7,2.666,2.685,,,
2025-05-13,,2.716,2.734,2.703,2.716,,,
2025-05-14,,2.726,2.741,2.716,2.717,,,
2025-05-15,,2.747,2.747,2.73,2.73,,,
2025-05-16,,2.679,2.699,2.671,2.69,,,
2025-05-19,,2.691,2.749,2.67,2.749,,,
2025-05-20,,2.702,2.73,2.698,2.722,,,
2025-05-21,,2.715,2.781,2.668,2.764,,,
2025-05-22,,2.799,2.813,2.744,2.744,,,
2025-05-23,,2.739,2.782,2.739,2.755,,,
2025-05-26,,2.765,2.772,2.732,2.772,,,
2025-05-27,,2.744,2.75,2.711,2.723,,,
2025-05-28,,2.712,2.72,2.696,2.717,,,
2025-05-29,,2.717,2.757,2.685,2.713,,,
2025-05-30,,2.716,2.804,2.712,2.791,,,
2025-06-02,,2.782,2.807,2.777,2.801,,,
2025-06-04,,2.826,2.9,2.826,2.896,,,
2025-06-05,,2.855,2.894,2.846,2.893,,,
2025-06-09,,2.929,2.929,2.864,2.868,,,
2025-06-10,,2.846,2.853,2.821,2.831,,,
2025-06-11,,2.827,2.842,2.81,2.833,,,
2025-06-12,,2.829,2.839,2.812,2.832,,,
2025-06-13,,2.772,2.826,2.772,2.82,,,
2025-06-16,,2.874,2.903,2.855,2.876,,,
2025-06-17,,2.863,2.885,2.829,2.858,,,
2025-06-18,,2.871,2.884,2.85,2.876,,,
2025-06-19,,2.879,2.885,2.865,2.885,,,
2025-06-20,,2.873,2.905,2.864,2.864,,,
2025-06-23,,2.871,2.901,2.849,2.881,,,
2025-06-24,,2.829,2.84,2.818,2.83,,,
2025-06-25,,2.802,2.83,2.802,2.803,,,
2025-06-26,,2.817,2.819,2.795,2.801,,,
2025-06-27,,2.768,2.815,2.754,2.789,,,
2025-06-30,,2.787,2.805,2.771,2.797,,,
2025-07-01,,2.8,2.815,2.776,2.787,,,
2025-07-02,,2.772,2.839,2.772,2.834,,,
2025-07-03,,2.836,2.845,2.811,2.828,,,
2025-07-04,,2.819,2.835,2.813,2.827,,,
2025-07-07,,2.828,2.847,2.82,2.84,,,
2025-07-08,,2.845,2.855,2.834,2.847,,,
2025-07-09,,2.85,2.865,2.847,2.861,,,
2025-07-10,,2.825,3.146,2.805,3.146,,,
2025-07-11,,2.83,2.83,2.83,2.83,,,
2025-07-14,,2.848,2.887,2.833,2.887,,,
2025-07-15,,2.873,2.9,2.873,2.875,,,
2025-07-16,,2.9,2.913,2.875,2.879,,,
2025-07-17,,2.884,2.908,2.873,2.904,,,
2025-07-18,,2.888,2.896,2.869,2.893,,,
2025-07-21,,2.87,2.88,2.856,2.872,,,
2025-07-22,,2.842,2.859,2.82,2.841,,,
2025-07-23,,2.83,2.848,2.824,2.83,,,
2025-07-24,,2.828,2.85,2.825,2.83,,,
2025-07-25,,2.846,2.859,2.837,2.855,,,
2025-07-28,,2.852,2.865,2.826,2.861,,,
2025-07-29,,2.833,2.834,2.806,2.832,,,
2025-07-30,,2.79,2.8,2.786,2.795,,,
2025-07-31,,2.797,2.815,2.782,2.79,,,
2025-08-01,,2.808,2.838,2.789,2.838,,,
2025-08-04,,2.756,2.84,2.756,2.78,,,
2025-08-05,,2.754,2.77,2.75,2.766,,,
2025-08-06,,2.766,2.781,2.748,2.78,,,
2025-08-07,,2.772,2.783,2.727,2.767,,,
2025-08-08,,2.764,2.777,2.758,2.777,,,
2025-08-11,,2.782,2.788,2.77,2.78,,,
2025-08-12,,2.798,2.808,2.795,2.807,,,
2025-08-13,,2.796,2.824,2.796,2.803,,,
2025-08-14,,2.787,2.793,2.782,2.786,,,
2025-08-18,,2.826,2.839,2.701,2.827,,,
2025-08-19,,2.84,2.865,2.834,2.844,,,
2025-08-20,,2.852,2.864,2.848,2.854,,,
2025-08-21,,2.844,2.854,2.842,2.852,,,
2025-08-22,,2.86,2.864,2.851,2.855,,,
2025-08-25,,2.835,2.86,2.829,2.854,,,
2025-08-26,,2.841,2.873,2.841,2.852,,,
2025-08-27,,2.84,2.855,2.824,2.825,,,
2025-08-28,,2.809,2.822,2.795,2.819,,,
2025-08-29,,2.812,2.827,2.811,2.827,,,
2025-09-01,,2.827,2.852,2.823,2.847,,,
2025-09-02,,2.852,2.87,2.85,2.85,,,
2025-09-03,,2.878,2.92,2.878,2.912,,,
2025-09-04,,2.875,2.897,2.873,2.894,,,
2025-09-05,,2.855,2.863,2.851,2.854,,,
2025-09-08,,2.833,2.857,2.831,2.851,,,
2025-09-09,,2.823,2.827,2.811,2.824,,,
2025-09-10,,2.866,2.866,2.815,2.815,,,
2025-09-11,,2.822,2.831,2.807,2.825,,,
2025-09-12,,2.802,2.815,2.795,2.812,,,
2025-09-15,,2.836,2.842,2.815,2.821,,,
2025-09-16,,2.805,2.814,2.786,2.792,,,
2025-09-17,,2.797,2.804,2.782,2.79,,,
2025-09-18,,2.795,2.835,2.728,2.728,,,
2025-09-19,,2.793,2.82,2.785,2.79,,,
2025-09-22,,2.824,2.846,2.813,2.83,,,
2025-09-23,,2.833,2.839,2.805,2.811,,,
2025-09-24,,2.816,2.857,2.816,2.849,,,
2025-09-25,,2.858,2.89,2.843,2.86,,,
2025-09-26,,2.906,2.974,2.891,2.943,,,
2025-09-29,,2.942,2.953,2.927,2.938,,,
2025-09-30,,2.935,2.963,2.846,2.935,,,
2025-10-01,,2.95,2.966,2.938,2.96,,,
2025-10-02,,2.945,2.979,2.937,2.957,,,
2025-10-10,,2.985,2.999,2.958,2.958,,,
2025-10-13,,2.92,2.955,2.903,2.926,,,
2025-10-14,,2.903,2.91,2.865,2.865,,,
2025-10-15,,2.862,2.864,2.843,2.861,,,
2025-10-16,,2.854,2.896,2.842,2.885,,,
2025-10-17,,2.878,2.915,2.858,2.886,,,
2025-10-20,,2.891,2.902,2.88,2.896,,,
2025-10-21,,2.881,2.91,2.878,2.903,,,
2025-10-22,,2.896,2.904,2.871,2.88,,,
2025-10-23,,2.855,2.915,2.855,2.912,,,
2025-10-24,,2.926,2.927,2.899,2.91,,,
2025-10-27,,2.949,2.958,2.919,2.936,,,
2025-10-28,,2.97,2.973,2.934,2.938,,,
2025-10-29,,2.96,2.99,2.936,2.968,,,
2025-10-30,,3.021,3.048,2.989,3.042,,,
2025-10-31,,3.073,3.083,3.047,3.058,,,
2025-11-03,,3.062,3.078,3.049,3.057,,,
2025-11-04,,3.132,3.153,3.078,3.08,,,
2025-11-05,,3.093,3.116,3.069,3.114,,,
2025-11-06,,3.154,3.199,3.147,3.157,,,
2025-11-07,,3.175,3.236,3.171,3.222,,,
2025-11-10,,3.23,3.257,3.178,3.178,,,
2025-11-11,,3.218,3.232,3.192,3.221,,,
2025-11-12,,3.2,3.302,3.004,3.301,,,
2025-11-13,,3.269,3.274,3.208,3.271,,,
2025-11-14,,3.302,3.356,3.198,3.313,,,
2025-11-17,,3.333,3.35,3.294,3.302,,,
2025-11-18,,3.323,3.323,3.258,3.261,,,
2025-11-19,,3.258,3.295,3.258,3.285,,,
2025-11-20,,3.291,3.323,3.273,3.297,,,
2025-11-21,,3.284,3.326,3.266,3.268,,,
2025-11-24,,3.274,3.286,3.241,3.283,,,
2025-11-25,,3.255,3.308,3.239,3.265,,,
2025-11-26,,3.267,3.275,3.228,3.259,,,
2025-11-27,,3.233,3.36,3.233,3.36,,,
2025-11-28,,3.334,3.409,3.318,3.343,,,
2025-12-01,,3.348,3.401,3.34,3.387,,,
2025-12-02,,3.39,3.394,3.342,3.35,,,
2025-12-03,,3.35,3.391,3.332,3.373,,,
2025-12-04,,3.366,3.405,3.356,3.371,,,
2025-12-05,,3.374,3.388,3.354,3.375,,,
2025-12-08,,3.386,3.399,3.352,3.399,,,
2025-12-09,,3.404,3.472,3.398,3.407,,,
