date,timestamp,open,high,low,close,volume,source_symbol,source
2025-04-18,1744934400,15.695,15.695,15.695,15.695,,,
2025-04-21,1745193600,15.597,15.597,15.597,15.597,,,
2025-04-22,1745280000,15.432,15.432,15.432,15.432,,,
2025-04-23,1745366400,15.585,15.585,15.585,15.585,,,
2025-04-24,1745452800,15.458,15.458,15.458,15.458,,,
2025-04-25,1745539200,15.42,15.42,15.42,15.42,,,
2025-04-28,1745798400,15.522,15.522,15.522,15.522,,,
2025-04-29,1745884800,15.72,15.72,15.72,15.72,,,
2025-04-30,1745971200,15.777,15.777,15.777,15.777,,,
2025-05-02,1746144000,15.812,15.812,15.812,15.812,,,
2025-05-05,1746403200,15.895,15.895,15.895,15.895,,,
2025-05-06,1746489600,15.903,15.903,15.903,15.903,,,
2025-05-07,1746576000,16.039,16.039,16.039,16.039,,,
2025-05-08,1746662400,15.572,15.572,15.572,15.572,,,
2025-05-12,1747008000,15.604,15.604,15.604,15.604,,,
2025-05-13,1747094400,15.817,15.817,15.817,15.817,,,
2025-05-14,1747180800,15.768,15.768,15.768,15.768,,,
2025-05-15,1747267200,15.787,15.787,15.787,15.787,,,
2025-05-16,1747353600,15.785,15.785,15.785,15.785,,,
2025-05-19,1747612800,15.668,15.668,15.668,15.668,,,
2025-05-20,1747699200,15.738,15.738,15.738,15.738,,,
2025-05-21,1747785600,15.821,15.821,15.821,15.821,,,
2025-05-22,1747872000,15.828,15.828,15.828,15.828,,,
2025-05-23,1747958400,15.779,15.779,15.779,15.779,,,
2025-05-26,1748217600,15.903,15.903,15.903,15.903,,,
2025-05-27,1748304000,15.894,15.894,15.894,15.894,,,
2025-05-28,1748390400,15.922,15.922,15.922,15.922,,,
2025-05-29,1748476800,15.77,15.77,15.77,15.77,,,
2025-05-30,1748563200,15.565,15.565,15.565,15.565,,,
2025-06-02,1748822400,15.445,15.445,15.445,15.445,,,
2025-06-03,1748908800,15.3,15.3,15.3,15.3,,,
2025-06-04,1748995200,15.082,15.082,15.082,15.082,,,
2025-06-05,1749081600,15.11,15.11,15.11,15.11,,,
2025-06-06,1749168000,15.108,15.108,15.108,15.108,,,
2025-06-09,1749427200,15.253,15.253,15.253,15.253,,,
2025-06-10,1749513600,15.083,15.083,15.083,15.083,,,
2025-06-11,1749600000,15.072,15.072,15.072,15.072,,,
2025-06-13,1749772800,14.98,14.98,14.98,14.98,,,
2025-06-16,1750032000,15.048,15.048,15.048,15.048,,,
2025-06-17,1750118400,15.132,15.132,15.132,15.132,,,
2025-06-18,1750204800,15.131,15.131,15.131,15.131,,,
2025-06-19,1750291200,14.956,14.956,14.956,14.956,,,
