date,timestamp,open,high,low,close,volume,source_symbol,source
2024-11-13,1731456000,89.0658,98.675,89.0658,98.425,,,
2024-11-14,1731542400,89.0658,100.726,89.0658,99.48,,,
2024-11-15,1731628800,89.0658,100.375,89.0658,100.025,,,
2024-11-18,1731888000,100.025,100.525,99.53,99.851,,,
2024-11-19,1731974400,89.0658,101.05,89.0658,100.57,,,
2024-11-20,1732060800,89.0658,100.726,89.0658,100.6,,,
2024-11-21,1732147200,89.0658,101.275,89.0658,101.076,,,
2024-11-22,1732233600,89.0658,104.3,89.0658,104.3,,,
2024-11-25,1732492800,103.326,104.326,102.23,103.576,,,
2024-11-26,1732579200,89.0658,107.726,89.0658,104.976,,,
2024-11-27,1732665600,89.0658,114.5,89.0658,111.775,,,
2024-11-28,1732752000,89.0658,113.126,89.0658,106.976,,,
2024-11-29,1732838400,89.0658,109.726,89.0658,106.5,,,
2024-12-02,1733097600,106.5,108.1,105.25,106.5531,,,
2024-12-03,1733184000,89.0658,107.1,89.0658,106.025,,,
2024-12-04,1733270400,89.0658,106.025,89.0658,103.476,,,
2024-12-05,1733356800,104.9583,104.9583,99.5,99.976,,,
2024-12-06,1733443200,101.0,101.98,98.375,100.275,,,
2024-12-09,1733702400,100.275,100.9015,98.5,99.476,,,
2024-12-10,1733788800,100.0,102.5761,99.476,102.525,,,
2024-12-11,1733875200,103.05,108.726,101.48,106.976,,,
2024-12-12,1733961600,107.0113,107.0113,102.5,104.476,,,
2024-12-13,1734048000,105.0,105.0,102.68,104.476,,,
2024-12-16,1734307200,104.476,104.601,102.0,104.076,,,
2024-12-17,1734393600,103.6,104.85,101.05,104.076,,,
2024-12-18,1734480000,104.6,105.4,102.25,104.65,,,
2024-12-19,1734566400,104.675,104.675,102.5,103.476,,,
2024-12-20,1734652800,103.476,104.226,101.75,103.576,,,
2024-12-23,1734912000,103.576,103.576,99.375,100.829,,,
2024-12-24,1734998400,101.45,101.45,99.25,100.425,,,
2024-12-25,1735084800,100.0,100.425,99.38,99.48,,,
2024-12-26,1735171200,100.0,100.28,98.93,99.98,,,
2024-12-27,1735257600,99.98,106.226,99.25,106.226,,,
2024-12-30,1735516800,106.226,110.476,103.68,110.476,,,
2024-12-31,1735603200,104.8777,110.476,104.8777,109.726,,,
2025-01-01,1735689600,104.8777,109.726,104.8777,109.726,,,
2025-01-02,1735776000,104.8777,113.476,104.8777,111.476,,,
2025-01-03,1735862400,104.8777,111.476,104.8777,110.726,,,
2025-01-06,1736121600,110.726,110.726,106.38,106.976,,,
2025-01-07,1736208000,107.5,107.5,106.0,106.726,,,
2025-01-08,1736294400,107.1582,107.1582,103.875,105.226,,,
2025-01-09,1736380800,104.5,105.226,101.25,102.726,,,
2025-01-10,1736467200,102.25,102.726,100.95,102.226,,,
2025-01-13,1736726400,102.226,103.025,101.53,102.5,,,
2025-01-14,1736812800,102.5,103.38,102.15,102.68,,,
2025-01-15,1736899200,102.68,103.3,101.95,102.775,,,
2025-01-16,1736985600,102.4687,103.101,101.875,102.43,,,
2025-01-17,1737072000,102.43,102.9,101.675,102.351,,,
2025-01-20,1737331200,102.351,102.351,100.5,101.476,,,
2025-01-21,1737417600,101.0,101.83,99.0,99.726,,,
2025-01-22,1737504000,99.4274,99.726,97.525,99.201,,,
2025-01-23,1737590400,99.25,100.001,98.58,99.976,,,
2025-01-24,1737676800,99.7173,99.976,97.55,97.775,,,
2025-01-27,1737936000,97.55,98.38,96.5252,97.55,,,
2025-01-28,1738022400,97.3485,98.675,96.98,98.351,,,
2025-01-29,1738108800,98.0,99.726,97.68,98.976,,,
2025-01-30,1738195200,99.25,99.25,97.475,98.5,,,
2025-01-31,1738281600,98.5,98.9382,97.55,98.627,,,
2025-02-03,1738540800,98.627,100.1962,98.325,99.976,,,
2025-02-04,1738627200,99.7882,100.5418,98.5951,99.601,,,
2025-02-05,1738713600,100.5418,100.675,97.125,97.351,,,
2025-02-06,1738800000,98.0,98.0,96.225,96.976,,,
2025-02-07,1738886400,96.75,97.68,96.5,97.226,,,
2025-02-10,1739145600,97.226,98.05,96.375,96.976,,,
2025-02-11,1739232000,96.4158,97.23,94.25,95.851,,,
2025-02-12,1739318400,95.7804,96.49,92.85,94.726,,,
2025-02-13,1739404800,94.7283,94.7283,88.75,89.49,,,
2025-02-14,1739491200,90.0,92.4751,88.976,91.101,,,
2025-02-17,1739750400,91.75,92.325,90.726,91.501,,,
2025-02-18,1739836800,91.4579,92.351,90.850999,91.626,,,
2025-02-19,1739923200,91.55,91.626,88.675,89.5955,,,
2025-02-20,1740009600,89.5955,89.5955,87.625,88.65,,,
2025-02-21,1740096000,88.7903,90.4083,87.2,88.5,,,
2025-02-24,1740355200,88.25,89.28,87.476,88.126,,,
2025-02-25,1740441600,87.75,88.126,86.05,86.601,,,
2025-02-26,1740528000,86.2473,87.125,85.2438,86.8,,,
2025-02-27,1740614400,86.825,88.28,86.575,87.376,,,
2025-02-28,1740700800,87.7,89.5741,87.376,89.37,,,
2025-03-03,1740960000,89.476,90.05,88.7,89.576,,,
2025-03-04,1741046400,89.7,89.75,88.725,89.74,,,
2025-03-05,1741132800,89.75,90.6442,89.08,89.876,,,
2025-03-06,1741219200,90.4,90.4,88.75,89.226,,,
2025-03-07,1741305600,89.0,89.99,86.976,89.99,,,
2025-03-10,1741564800,89.75,89.75,86.9192,87.476,,,
2025-03-11,1741651200,87.224,88.88,84.9252,85.476,,,
2025-03-12,1741737600,85.375,87.3,85.25,87.001,,,
2025-03-13,1741824000,87.0707,87.075,85.625,86.1234,,,
2025-03-14,1741910400,86.1234,86.976,85.1,85.476,,,
2025-03-17,1742169600,85.476,85.83,83.1,83.44,,,
2025-03-18,1742256000,83.4987,83.4987,80.98,81.71,,,
