date,timestamp,open,high,low,close,volume,source_symbol,source
2019-04-18,1555545600,2.496,2.496,2.452,2.462,,,
2019-04-22,1555891200,2.462,2.487,2.457,2.487,,,
2019-04-23,1555977600,2.482,2.488,2.454,2.459,,,
2019-04-24,1556064000,2.462,2.462,2.405,2.41,,,
2019-04-25,1556150400,2.407,2.435,2.405,2.427,,,
2019-04-26,1556236800,2.427,2.427,2.382,2.387,,,
2019-04-29,1556496000,2.39,2.429,2.39,2.414,,,
2019-04-30,1556582400,2.413,2.437,2.387,2.39,,,
2019-05-01,1556668800,2.39,2.409,2.336,2.397,,,
2019-05-02,1556755200,2.399,2.453,2.399,2.446,,,
2019-05-03,1556841600,2.443,2.468,2.419,2.425,,,
2019-05-06,1557100800,2.429,2.429,2.365,2.365,,,
2019-05-07,1557187200,2.394,2.394,2.343,2.355,,,
2019-05-08,1557273600,2.346,2.388,2.326,2.38,,,
2019-05-09,1557360000,2.382,2.382,2.316,2.338,,,
2019-05-10,1557446400,2.346,2.368,2.319,2.365,,,
2019-05-13,1557705600,2.326,2.336,2.272,2.287,,,
2019-05-14,1557792000,2.287,2.309,2.277,2.292,,,
2019-05-15,1557878400,2.294,2.302,2.237,2.253,,,
2019-05-16,1557964800,2.257,2.299,2.236,2.275,,,
2019-05-17,1558051200,2.275,2.289,2.245,2.275,,,
2019-05-20,1558310400,2.28,2.306,2.267,2.306,,,
2019-05-21,1558396800,2.306,2.331,2.296,2.322,,,
2019-05-22,1558483200,2.323,2.328,2.273,2.275,,,
2019-05-23,1558569600,2.272,2.277,2.182,2.214,,,
2019-05-24,1558656000,2.214,2.228,2.204,2.218,,,
2019-05-28,1559001600,2.208,2.213,2.153,2.158,,,
2019-05-29,1559088000,2.159,2.167,2.107,2.162,,,
2019-05-30,1559174400,2.165,2.192,2.118,2.12,,,
2019-05-31,1559260800,2.119,2.12,2.019,2.024,,,
2019-06-03,1559520000,2.019,2.024,1.947,1.959,,,
2019-06-04,1559606400,1.962,2.038,1.962,2.021,,,
2019-06-05,1559692800,2.009,2.021,1.95,2.014,,,
2019-06-06,1559779200,2.009,2.017,1.971,2.005,,,
2019-06-07,1559865600,2.005,2.014,1.933,1.971,,,
2019-06-11,1560211200,2.0130000114441,2.0380001068115,1.9960000514984,2.0369999408722,,,
2019-06-12,1560297600,2.0250000953674,2.0620000362396,2.0230000019073,2.0309998989105,,,
2019-06-13,1560384000,2.0260000228882,2.0309998989105,1.9900000095367,1.9950000047684,,,
2019-06-14,1560470400,1.99899995327,2.0020000934601,1.9459999799728,1.9559999704361,,,
2019-06-15,1560556800,1.9490000009537,1.9769999980927,1.9179999828339,1.9509999752045,,,
2019-06-17,1560729600,1.981,1.985,1.951,1.97,,,
2019-06-18,1560816000,1.966,1.97,1.886,1.934,,,
2019-06-19,1560902400,1.934,1.975,1.886,1.886,,,
2019-06-20,1560988800,1.889,1.905,1.84,1.898,,,
2019-06-21,1561075200,1.89,1.938,1.869,1.918,,,
2019-06-24,1561334400,1.919,1.924,1.874,1.874,,,
2019-06-25,1561420800,1.876,1.881,1.84,1.85,,,
2019-06-26,1561507200,1.852,1.922,1.852,1.917,,,
2019-06-27,1561593600,1.919,1.946,1.878,1.883,,,
2019-06-28,1561680000,1.883,1.899,1.868,1.88,,,
2019-07-01,1561939200,1.913,1.921,1.88,1.885,,,
2019-07-02,1562025600,1.887,1.894,1.847,1.849,,,
2019-07-03,1562112000,1.847,1.847,1.813,1.834,,,
2019-07-05,1562284800,1.825,1.954,1.822,1.921,,,
2019-07-08,1562544000,1.93,1.946,1.899,1.942,,,
2019-07-09,1562630400,1.94,1.964,1.925,1.962,,,
2019-07-10,1562716800,1.969,2.0,1.957,1.996,,,
2019-07-11,1562803200,1.909,1.957,1.909,1.957,,,
2019-07-12,1562889600,2.001,2.004,1.988,1.988,,,
2019-07-15,1563148800,1.997,2.002,1.959,1.959,,,
2019-07-16,1563235200,1.957,2.015,1.955,2.015,,,
2019-07-17,1563321600,1.984,1.986,1.951,1.951,,,
2019-07-18,1563408000,1.921,1.938,1.913,1.931,,,
2019-07-19,1563494400,1.904,1.904,1.901,1.901,,,
2019-07-22,1563753600,1.933,1.938,1.901,1.918,,,
2019-07-23,1563840000,1.918,1.949,1.914,1.949,,,
2019-07-24,1563926400,1.943,1.95,1.905,1.918,,,
2019-07-25,1564012800,1.922,1.972,1.887,1.957,,,
2019-07-26,1564099200,1.96,1.966,1.94,1.949,,,
2019-07-29,1564358400,1.947,1.947,1.925,1.942,,,
2019-07-30,1564444800,1.94,1.952,1.923,1.94,,,
2019-07-31,1564531200,1.94,1.952,1.901,1.917,,,
2019-08-01,1564617600,1.909,1.961,1.761,1.775,,,
2019-08-02,1564704000,1.78,1.787,1.718,1.741,,,
2019-08-05,1564963200,1.748,1.748,1.607,1.607,,,
2019-08-06,1565049600,1.614,1.668,1.569,1.602,,,
2019-08-07,1565136000,1.614,1.637,1.515,1.637,,,
2019-08-08,1565222400,1.627,1.677,1.604,1.622,,,
2019-08-09,1565308800,1.621,1.658,1.59,1.656,,,
2019-08-12,1565568000,1.655,1.655,1.55,1.566,,,
2019-08-13,1565654400,1.557,1.646,1.538,1.64,,,
2019-08-14,1565740800,1.639,1.639,1.526,1.538,,,
2019-08-15,1565827200,1.54,1.553,1.444,1.462,,,
2019-08-16,1565913600,1.485,1.535,1.453,1.492,,,
2019-08-19,1566172800,1.511,1.553,1.504,1.553,,,
2019-08-20,1566259200,1.553,1.553,1.478,1.502,,,
2019-08-21,1566345600,1.496,1.544,1.496,1.537,,,
2019-08-22,1566432000,1.537,1.567,1.506,1.562,,,
2019-08-23,1566518400,1.558,1.607,1.454,1.475,,,
2019-08-26,1566777600,1.409,1.491,1.395,1.48,,,
2019-08-27,1566864000,1.481,1.481,1.429,1.433,,,
2019-08-28,1566950400,1.433,1.447,1.409,1.422,,,
2019-08-29,1567036800,1.435,1.486,1.403,1.456,,,
2019-08-30,1567123200,1.451,1.492,1.446,1.455,,,
2019-09-03,1567468800,1.462,1.484,1.38,1.401,,,
2019-09-04,1567555200,1.406,1.434,1.384,1.399,,,
2019-09-05,1567641600,1.401,1.524,1.401,1.505,,,
2019-09-06,1567728000,1.508,1.553,1.484,1.51,,,
2019-09-09,1567987200,1.505,1.582,1.505,1.579,,,
2019-09-10,1568073600,1.582,1.68,1.56,1.673,,,
2019-09-11,1568160000,1.685,1.688,1.649,1.677,,,
2019-09-12,1568246400,1.68,1.732,1.612,1.71,,,
2019-09-13,1568332800,1.713,1.841,1.702,1.833,,,
2019-09-16,1568592000,1.836,1.836,1.761,1.783,,,
2019-09-17,1568678400,1.778,1.785,1.737,1.744,,,
2019-09-18,1568764800,1.749,1.761,1.685,1.756,,,
2019-09-19,1568851200,1.759,1.776,1.71,1.735,,,
2019-09-20,1568937600,1.738,1.74,1.667,1.672,,,
2019-09-23,1569196800,1.669,1.711,1.609,1.667,,,
2019-09-24,1569283200,1.662,1.665,1.571,1.59,,,
2019-09-25,1569369600,1.592,1.675,1.576,1.675,,,
2019-09-26,1569456000,1.672,1.672,1.619,1.639,,,
2019-10-04,1570147200,1.441,1.446,1.422,1.446,,,
2019-10-07,1570406400,1.434,1.484,1.417,1.481,,,
2019-10-08,1570492800,1.483,1.505,1.429,1.444,,,
2019-10-09,1570579200,1.445,1.502,1.441,1.5,,,
2019-10-10,1570665600,1.496,1.582,1.455,1.582,,,
2019-10-11,1570752000,1.58,1.685,1.557,1.645,,,
2019-10-15,1571097600,1.629,1.687,1.589,1.685,,,
