date,timestamp,open,high,low,close
2025-01-07,1736208000,0.232,0.232,0.208,0.208
2025-01-08,1736294400,0.281,0.281,0.25,0.25
2025-01-09,1736380800,0.281,0.281,0.25,0.25
2025-01-10,1736467200,0.283,0.283,0.249,0.249
2025-01-14,1736812800,0.24,0.275,0.24,0.275
2025-01-15,1736899200,0.245,0.245,0.245,0.245
2025-01-16,1736985600,0.29,0.303,0.29,0.29
2025-01-17,1737072000,0.36,0.366,0.354,0.36
2025-01-20,1737331200,0.355,0.355,0.355,0.355
2025-01-21,1737417600,0.355,0.355,0.355,0.355
2025-01-22,1737504000,0.39,0.39,0.39,0.39
2025-01-23,1737590400,0.355,0.355,0.355,0.355
2025-01-24,1737676800,0.335,0.37,0.335,0.37
2025-01-27,1737936000,0.335,0.37,0.335,0.37
2025-01-28,1738022400,0.325,0.36,0.325,0.36
2025-01-29,1738108800,0.325,0.36,0.325,0.36
2025-01-30,1738195200,0.325,0.36,0.325,0.36
2025-01-31,1738281600,0.325,0.36,0.32,0.36
2025-02-03,1738540800,0.325,0.36,0.32,0.36
2025-02-04,1738627200,0.325,0.36,0.32,0.36
2025-02-05,1738713600,0.32,0.355,0.32,0.355
2025-02-06,1738800000,0.32,0.355,0.32,0.355
2025-02-07,1738886400,0.355,0.355,0.315,0.355
2025-02-10,1739145600,0.31,0.35,0.31,0.35
2025-02-12,1739318400,0.305,0.31,0.305,0.31
2025-02-13,1739404800,0.31,0.31,0.31,0.31
2025-02-14,1739491200,0.31,0.31,0.305,0.305
2025-02-17,1739750400,0.295,0.295,0.295,0.295
2025-02-18,1739836800,0.305,0.33,0.305,0.33
2025-02-19,1739923200,0.305,0.332,0.305,0.332
2025-02-20,1740009600,0.307,0.307,0.307,0.307
2025-02-21,1740096000,0.308,0.308,0.308,0.308
2025-02-25,1740441600,0.31,0.34,0.31,0.34
2025-02-26,1740528000,0.31,0.335,0.31,0.335
2025-02-27,1740614400,0.31,0.31,0.31,0.31
2025-02-28,1740700800,0.34,0.34,0.34,0.305
2025-03-03,1740960000,0.35,0.36,0.35,0.36
2025-03-04,1741046400,0.375,0.375,0.375,0.375
2025-03-05,1741132800,0.36,0.36,0.348,0.36
2025-03-06,1741219200,0.353,0.353,0.353,0.353
2025-03-07,1741305600,0.353,0.353,0.353,0.353
2025-03-10,1741564800,0.295,0.295,0.295,0.295
2025-03-11,1741651200,0.295,0.32,0.295,0.32
2025-03-12,1741737600,0.295,0.32,0.295,0.32
2025-03-13,1741824000,0.345,0.345,0.33,0.345
2025-03-14,1741910400,0.335,0.36,0.335,0.36
2025-03-17,1742169600,0.315,0.32,0.308,0.32
2025-03-18,1742256000,0.315,0.315,0.315,0.315
2025-03-19,1742342400,0.315,0.315,0.315,0.315
2025-03-21,1742515200,0.315,0.33,0.315,0.33
2025-03-24,1742774400,0.27,0.32,0.27,0.32
2025-03-25,1742860800,0.27,0.32,0.27,0.32
2025-03-26,1742947200,0.27,0.32,0.27,0.32
2025-03-27,1743033600,0.27,0.32,0.27,0.32
2025-03-28,1743120000,0.285,0.32,0.285,0.32
2025-03-31,1743379200,0.387,0.387,0.373,0.382
2025-04-01,1743465600,0.391,0.391,0.385,0.39
2025-04-02,1743552000,0.38,0.39,0.38,0.39
2025-04-03,1743638400,0.4,0.4,0.388,0.4
2025-04-04,1743724800,0.407,0.408,0.407,0.407
2025-04-07,1743984000,0.399,0.399,0.399,0.399
2025-04-08,1744070400,0.385,0.41,0.383,0.41
2025-04-09,1744156800,0.383,0.41,0.383,0.41
2025-04-10,1744243200,0.41,0.41,0.4,0.4
2025-04-11,1744329600,0.374,0.4,0.37,0.37
2025-04-14,1744588800,0.333,0.35,0.333,0.35
2025-04-15,1744675200,0.35,0.36,0.334,0.36
2025-04-16,1744761600,0.334,0.36,0.334,0.36
2025-04-17,1744848000,0.334,0.36,0.334,0.36
2025-04-18,1744934400,0.4,0.4,0.4,0.4
2025-04-21,1745193600,0.402,0.42,0.402,0.41
2025-04-22,1745280000,0.401,0.43,0.397,0.431
2025-04-23,1745366400,0.396,0.41,0.396,0.4
2025-04-24,1745452800,0.406,0.407,0.402,0.405
2025-04-25,1745539200,0.4,0.413,0.396,0.404
2025-04-28,1745798400,0.405,0.408,0.4,0.408
2025-04-30,1745971200,0.411,0.411,0.405,0.407
2025-05-01,1746057600,0.411,0.429,0.401,0.425
2025-05-02,1746144000,0.436,0.438,0.435,0.439
2025-05-07,1746576000,0.431,0.435,0.427,0.435
2025-05-08,1746662400,0.434,0.437,0.433,0.434
2025-05-09,1746748800,0.435,0.445,0.422,0.423
2025-05-12,1747008000,0.412,0.413,0.402,0.41
2025-05-13,1747094400,0.402,0.412,0.402,0.411
2025-05-14,1747180800,0.406,0.406,0.398,0.398
2025-05-15,1747267200,0.406,0.408,0.392,0.407
2025-05-16,1747353600,0.39,0.402,0.39,0.402
2025-05-19,1747612800,0.396,0.397,0.386,0.395
2025-05-20,1747699200,0.395,0.395,0.385,0.394
2025-05-21,1747785600,0.386,0.395,0.385,0.387
2025-05-22,1747872000,0.387,0.396,0.38,0.397
2025-05-23,1747958400,0.413,0.418,0.397,0.409
2025-05-26,1748217600,0.392,0.402,0.392,0.401
2025-05-27,1748304000,0.398,0.408,0.398,0.408
2025-05-28,1748390400,0.411,0.411,0.399,0.411
2025-05-29,1748476800,0.411,0.412,0.411,0.413
2025-05-30,1748563200,0.435,0.437,0.431,0.431
2025-06-02,1748822400,0.437,0.437,0.426,0.436
2025-06-03,1748908800,0.437,0.437,0.428,0.437
2025-06-04,1748995200,0.437,0.443,0.435,0.443
2025-06-05,1749081600,0.443,0.443,0.443,0.443
2025-06-06,1749168000,0.466,0.47,0.465,0.471
2025-06-09,1749427200,0.492,0.493,0.488,0.488
2025-06-10,1749513600,0.48,0.48,0.478,0.479
2025-06-11,1749600000,0.48,0.48,0.473,0.475
