date,timestamp,open,high,low,close
2025-04-18,1744934400,16.976,16.976,16.976,16.976
2025-04-21,1745193600,16.985,16.985,16.985,16.985
2025-04-22,1745280000,17.026,17.026,17.026,17.026
2025-04-23,1745366400,16.99,16.99,16.99,16.99
2025-04-24,1745452800,16.965,16.965,16.965,16.965
2025-04-25,1745539200,16.853,16.853,16.853,16.853
2025-04-28,1745798400,16.889,16.889,16.889,16.889
2025-04-29,1745884800,17.037,17.037,17.037,17.037
2025-04-30,1745971200,17.102,17.102,17.102,17.102
2025-05-02,1746144000,17.326,17.326,17.326,17.326
2025-05-05,1746403200,17.474,17.474,17.474,17.474
2025-05-06,1746489600,17.439,17.439,17.439,17.439
2025-05-07,1746576000,16.981,16.981,16.981,16.981
2025-05-08,1746662400,17.091,17.091,17.091,17.091
2025-05-12,1747008000,16.785,16.785,16.785,16.785
2025-05-13,1747094400,16.959,16.959,16.959,16.959
2025-05-14,1747180800,17.202,17.202,17.202,17.202
2025-05-15,1747267200,17.073,17.073,17.073,17.073
2025-05-16,1747353600,16.981,16.981,16.981,16.981
2025-05-19,1747612800,16.827,16.827,16.827,16.827
2025-05-20,1747699200,16.835,16.835,16.835,16.835
2025-05-21,1747785600,16.874,16.874,16.874,16.874
2025-05-22,1747872000,16.823,16.823,16.823,16.823
2025-05-23,1747958400,16.946,16.946,16.946,16.946
2025-05-26,1748217600,16.839,16.839,16.839,16.839
2025-05-27,1748304000,16.866,16.866,16.866,16.866
2025-05-28,1748390400,16.673,16.673,16.673,16.673
2025-05-29,1748476800,16.438,16.438,16.438,16.438
2025-05-30,1748563200,16.374,16.374,16.374,16.374
2025-06-02,1748822400,16.34,16.34,16.34,16.34
2025-06-03,1748908800,16.193,16.193,16.193,16.193
2025-06-04,1748995200,15.548,15.548,15.548,15.548
2025-06-05,1749081600,15.59,15.59,15.59,15.59
2025-06-06,1749168000,15.671,15.671,15.671,15.671
2025-06-09,1749427200,15.888,15.888,15.888,15.888
2025-06-10,1749513600,15.924,15.924,15.924,15.924
2025-06-11,1749600000,15.52,15.52,15.52,15.52
2025-06-13,1749772800,15.58,15.58,15.58,15.58
2025-06-16,1750032000,15.762,15.762,15.762,15.762
2025-06-17,1750118400,15.907,15.907,15.907,15.907
2025-06-18,1750204800,15.803,15.803,15.803,15.803
2025-06-19,1750291200,15.721,15.721,15.721,15.721
2025-06-20,1750377600,15.531,15.531,15.531,15.531
2025-06-23,1750636800,15.575,15.575,15.575,15.575
2025-06-24,1750723200,15.589,15.589,15.589,15.589
2025-06-25,1750809600,15.196,15.196,15.196,15.196
2025-06-26,1750896000,14.978,14.978,14.978,14.978
2025-06-27,1750982400,14.877,14.877,14.877,14.877
2025-06-30,1751241600,14.706,14.706,14.706,14.706
2025-07-01,1751328000,14.635,14.635,14.635,14.635
2025-07-02,1751414400,14.696,14.696,14.696,14.696
2025-07-03,1751500800,14.659,14.659,14.659,14.659
2025-07-06,1751760000,14.601,14.601,14.601,14.601
2025-07-07,1751846400,14.64,14.64,14.64,14.64
2025-07-08,1751932800,14.726,14.726,14.726,14.726
2025-07-09,1752019200,14.602,14.602,14.602,14.602
2025-07-10,1752105600,14.637,14.637,14.637,14.637
2025-07-13,1752364800,14.565,14.565,14.565,14.565
2025-07-14,1752451200,14.467,14.467,14.467,14.467
2025-07-15,1752537600,14.308,14.308,14.308,14.308
2025-07-16,1752624000,13.981,13.981,13.981,13.981
2025-07-17,1752710400,13.826,13.826,13.826,13.826
2025-07-20,1752969600,13.804,13.804,13.804,13.804
2025-07-21,1753056000,13.893,13.893,13.893,13.893
2025-07-22,1753142400,13.821,13.821,13.821,13.821
2025-07-23,1753228800,13.809,13.809,13.809,13.809
2025-07-24,1753315200,13.844,13.844,13.844,13.844
2025-07-27,1753574400,13.58,13.58,13.58,13.58
2025-07-28,1753660800,13.817,13.817,13.817,13.817
2025-07-29,1753747200,13.595,13.595,13.595,13.595
2025-07-30,1753833600,13.514,13.514,13.514,13.514
2025-07-31,1753920000,13.505,13.505,13.505,13.505
2025-08-03,1754179200,13.367,13.367,13.367,13.367
2025-08-04,1754265600,13.33,13.33,13.33,13.33
2025-08-05,1754352000,13.172,13.172,13.172,13.172
2025-08-06,1754438400,12.971,12.971,12.971,12.971
2025-08-07,1754524800,12.873,12.873,12.873,12.873
2025-08-10,1754784000,12.704,12.704,12.704,12.704
2025-08-11,1754870400,12.625,12.625,12.625,12.625
2025-08-12,1754956800,12.89,12.89,12.89,12.89
2025-08-13,1755043200,13.036,13.036,13.036,13.036
2025-08-14,1755129600,12.746,12.746,12.746,12.746
2025-08-17,1755388800,13.06,13.06,13.06,13.06
2025-08-18,1755475200,13.121,13.121,13.121,13.121
2025-08-19,1755561600,13.143,13.143,13.143,13.143
2025-08-20,1755648000,13.333,13.333,13.333,13.333
2025-08-21,1755734400,13.266,13.266,13.266,13.266
2025-08-24,1755993600,13.037,13.037,13.037,13.037
2025-08-25,1756080000,13.129,13.129,13.129,13.129
2025-08-26,1756166400,13.407,13.407,13.407,13.407
2025-08-27,1756252800,13.477,13.477,13.477,13.477
2025-08-28,1756339200,13.801,13.801,13.801,13.801
2025-08-31,1756598400,13.766,13.766,13.766,13.766
2025-09-01,1756684800,13.747,13.747,13.747,13.747
2025-09-02,1756771200,13.694,13.694,13.694,13.694
2025-09-03,1756857600,13.25,13.25,13.25,13.25
2025-09-04,1756944000,13.355,13.355,13.355,13.355
2025-09-07,1757203200,13.272,13.272,13.272,13.272
2025-09-08,1757289600,13.354,13.354,13.354,13.354
2025-09-09,1757376000,13.531,13.531,13.531,13.531
2025-09-10,1757462400,13.636,13.636,13.636,13.636
2025-09-11,1757548800,13.607,13.607,13.607,13.607
2025-09-14,1757808000,13.729,13.729,13.729,13.729
2025-09-15,1757894400,13.853,13.853,13.853,13.853
2025-09-16,1757980800,13.798,13.798,13.798,13.798
2025-09-17,1758067200,13.8,13.8,13.8,13.8
2025-09-18,1758153600,14.049,14.049,14.049,14.049
2025-09-21,1758412800,14.068,14.068,14.068,14.068
2025-09-22,1758499200,14.053,14.053,14.053,14.053
2025-09-23,1758585600,14.03,14.03,14.03,14.03
2025-09-24,1758672000,14.119,14.119,14.119,14.119
2025-09-25,1758758400,14.167,14.167,14.167,14.167
2025-09-28,1759017600,14.155,14.155,14.155,14.155
2025-09-29,1759104000,14.507,14.507,14.507,14.507
2025-09-30,1759190400,14.542,14.542,14.542,14.542
2025-10-01,1759276800,14.714,14.714,14.714,14.714
2025-10-02,1759363200,14.736,14.736,14.736,14.736
2025-10-05,1759622400,14.733,14.733,14.733,14.733
2025-10-06,1759708800,14.593,14.593,14.593,14.593
2025-10-07,1759795200,14.79,14.79,14.79,14.79
2025-10-08,1759881600,15.104,15.104,15.104,15.104
2025-10-09,1759968000,14.981,14.981,14.981,14.981
2025-10-12,1760227200,14.939,14.939,14.939,14.939
2025-10-13,1760313600,15.152,15.152,15.152,15.152
2025-10-14,1760400000,15.291,15.291,15.291,15.291
2025-10-15,1760486400,15.168,15.168,15.168,15.168
2025-10-16,1760572800,14.978,14.978,14.978,14.978
2025-10-19,1760832000,14.825,14.825,14.825,14.825
2025-10-20,1760918400,14.921,14.921,14.921,14.921
2025-10-21,1761004800,14.817,14.817,14.817,14.817
2025-12-24,1766534400,14.502,14.502,14.502,14.502
2025-12-25,1766620800,14.295,14.295,14.295,14.295
2025-12-28,1766880000,14.346,14.346,14.346,14.346
2025-12-29,1766966400,13.996,13.996,13.996,13.996
2026-01-04,1767484800,13.691,13.691,13.691,13.691
2026-01-05,1767571200,13.691,13.691,13.691,13.691
2026-01-07,1767744000,13.758,13.758,13.758,13.758
2026-01-08,1767830400,13.915,13.915,13.864,13.864
2026-01-11,1768089600,14.242,14.242,14.242,14.242
2026-01-12,1768176000,14.428,14.428,14.428,14.428
2026-01-13,1768262400,14.297,14.297,14.297,14.297
2026-01-14,1768348800,14.644,14.644,14.644,14.644
2026-01-15,1768435200,14.36,14.36,14.36,14.36
2026-04-14,1776124800,13.759,13.759,13.759,13.759
2026-04-15,1776211200,13.525,13.525,13.525,13.525
2026-04-16,1776297600,13.538,13.538,13.538,13.538
2026-04-19,1776556800,13.314,13.314,13.314,13.314
2026-04-20,1776643200,13.423,13.423,13.423,13.423
2026-04-21,1776729600,13.369,13.369,13.369,13.369
2026-04-22,1776816000,13.36,13.36,13.36,13.36
2026-04-23,1776902400,13.386,13.386,13.386,13.386
2026-04-26,1777161600,13.536,13.536,13.536,13.536
2026-04-27,1777248000,13.61,13.61,13.61,13.61
2026-04-28,1777334400,13.456,13.456,13.456,13.456
2026-04-29,1777420800,13.407,13.407,13.407,13.407
2026-05-03,1777766400,13.342,13.342,13.342,13.342
2026-05-04,1777852800,13.391,13.391,13.391,13.391
2026-05-05,1777939200,13.306,13.306,13.306,13.306
2026-05-06,1778025600,13.307,13.307,13.307,13.307
2026-05-07,1778112000,13.372,13.372,13.372,13.372
2026-05-10,1778371200,13.255,13.255,13.255,13.255
2026-05-11,1778457600,13.192,13.192,13.192,13.192
2026-05-12,1778544000,13.305,13.305,13.305,13.305
2026-05-13,1778630400,13.36,13.36,13.36,13.36
2026-05-14,1778716800,13.16,13.16,13.16,13.16
2026-05-17,1778976000,13.119,13.119,13.119,13.119
2026-05-18,1779062400,13.142,13.142,13.142,13.142
2026-05-19,1779148800,13.206,13.206,13.206,13.206
2026-05-20,1779235200,13.215,13.215,13.215,13.215
2026-05-21,1779321600,13.22,13.22,13.22,13.22
2026-05-24,1779580800,13.305,13.305,13.305,13.305
2026-05-25,1779667200,13.372,13.372,13.372,13.372
